url,title,type,language,year,author,local_path,extra_metadata,marker_conversion,reference
https://it.um.edu.my/doc/Policy/53%20Rules%20and%20Regulations%20For%20the%20Use%20of%20ICT%20Facilities%20Ver%201.5.pdf,Microsoft Word - 53 Rules and Regulations For the Use of ICT Facilities Ver 1.5,PDF Document,en,2022,nabilahmnawi,downloads/53%20Rules%20and%20Regulations%20For%20the%20Use%20of%20ICT%20Facilities%20Ver%201.5.pdf,"{'/Author': 'nabilahmnawi', '/CreationDate': ""D:20220714095911+08'00'"", '/Creator': 'PScript5.dll Version 5.2.2', '/ModDate': ""D:20220714095911+08'00'"", '/Producer': 'Acrobat Distiller 22.0 (Windows)', '/Title': 'Microsoft Word - 53 Rules and Regulations For the Use of ICT Facilities Ver 1.5'}",fail: markdown not found,nabilahmnawi. (2022). Microsoft Word - 53 Rules and Regulations For the Use of ICT Facilities Ver 1.5 (PDF). https://it.um.edu.my/doc/Policy/53%20Rules%20and%20Regulations%20For%20the%20Use%20of%20ICT%20Facilities%20Ver%201.5.pdf
https://cdn.um.edu.my/ummail/doc/UM_ICT_Declaration_All_and_ICT_Rules-2012-10-BI.pdf,ICT Declaration form-2009,PDF Document,en,2012,User,downloads/UM_ICT_Declaration_All_and_ICT_Rules-2012-10-BI.pdf,"{'/Title': 'ICT Declaration form-2009', '/Author': 'User', '/Creator': 'Microsoft® Word 2010', '/CreationDate': ""D:20121025104320+08'00'"", '/ModDate': ""D:20121025104320+08'00'"", '/Producer': 'Microsoft® Word 2010'}",fail: markdown not found,User. (2012). ICT Declaration form-2009 (PDF). https://cdn.um.edu.my/ummail/doc/UM_ICT_Declaration_All_and_ICT_Rules-2012-10-BI.pdf
https://umcms.um.edu.my/sites/pusat-teknologi-maklumat/safety-tips,Welcome to Department of Information Technology,Web Document,en,2024,,downloads/Welcome_to_Department_of_Information_Technology.md,{},,Welcome to Department of Information Technology. (2024). https://umcms.um.edu.my/sites/pusat-teknologi-maklumat/safety-tips
https://it.um.edu.my/doc/Policy/23%20Malware%20Policy%20Ver%201.4.pdf,23%20Malware%20Policy%20Ver%201.4.pdf,PDF Document,en,2020,Maureen,downloads/23%20Malware%20Policy%20Ver%201.4.pdf,"{'/Author': 'Maureen', '/Creator': 'Microsoft® Word 2013', '/CreationDate': ""D:20200604145549+08'00'"", '/ModDate': ""D:20200604145549+08'00'"", '/Producer': 'Microsoft® Word 2013'}",fail: markdown not found,Maureen. (2020). 23%20Malware%20Policy%20Ver%201.4.pdf (PDF). https://it.um.edu.my/doc/Policy/23%20Malware%20Policy%20Ver%201.4.pdf
https://umcms.um.edu.my/sites/pusat-teknologi-maklumat/umcert,Welcome to Department of Information Technology,Web Document,en,2024,,downloads/Welcome_to_Department_of_Information_Technology.md,{},,Welcome to Department of Information Technology. (2024). https://umcms.um.edu.my/sites/pusat-teknologi-maklumat/umcert
https://it.um.edu.my/doc/Policy/Dasar_Keselamatan_ICT_UM_Ver2.0(4Feb2013)Eng.pdf,ICT SECURITY POLICY,PDF Document,ms,2013,Dr. Ram Gopal Raj,downloads/Dasar_Keselamatan_ICT_UM_Ver2.0(4Feb2013)Eng.pdf,"{'/Title': 'ICT SECURITY POLICY', '/Author': 'Dr. Ram Gopal Raj', '/Subject': 'University of Malaya (UM)', '/Creator': 'Microsoft® Word 2010', '/CreationDate': ""D:20130325110445+08'00'"", '/ModDate': ""D:20130325110445+08'00'"", '/Producer': 'Microsoft® Word 2010'}",fail: markdown not found,Dr. Ram Gopal Raj. (2013). ICT SECURITY POLICY (PDF). https://it.um.edu.my/doc/Policy/Dasar_Keselamatan_ICT_UM_Ver2.0(4Feb2013)Eng.pdf
https://umcms.um.edu.my/sites/pusat-teknologi-maklumat/um-ict-policy-rules-amp-guidelines,Welcome to Department of Information Technology,Web Document,en,2024,,downloads/Welcome_to_Department_of_Information_Technology.md,{},,Welcome to Department of Information Technology. (2024). https://umcms.um.edu.my/sites/pusat-teknologi-maklumat/um-ict-policy-rules-amp-guidelines
https://ejournal.um.edu.my/index.php/MNIJ/about/privacy,"Privacy Statement
							| Malaysian NANO-An International Journal",Web Document,ms,2019,,downloads/Privacy_Statement_Malaysian_NANO_An_International_.md,{},,"Privacy Statement
							| Malaysian NANO-An International Journal. (2019). https://ejournal.um.edu.my/index.php/MNIJ/about/privacy"
https://it.um.edu.my/doc/Policy/Polisi%20ICT%20UM%20Ver%202.1.pdf,3B Edited ICT Policy ver2.1 for Approval.docx,PDF Document,ms,2014,haslina,downloads/Polisi%20ICT%20UM%20Ver%202.1.pdf,"{'/Title': '3B Edited ICT Policy ver2.1 for Approval.docx', '/Author': 'haslina', '/Creator': 'Microsoft® Word 2013', '/CreationDate': ""D:20140318163057+08'00'"", '/ModDate': ""D:20140318163057+08'00'"", '/Producer': 'Microsoft® Word 2013'}",fail: markdown not found,haslina. (2014). 3B Edited ICT Policy ver2.1 for Approval.docx (PDF). https://it.um.edu.my/doc/Policy/Polisi%20ICT%20UM%20Ver%202.1.pdf
https://it.um.edu.my/doc/Policy/19%20Supplier%20Management%20Policy%20Ver%201.6.pdf,19 Supplier Management Policy Ver 1.3,PDF Document,en,2021,Maureen,downloads/19%20Supplier%20Management%20Policy%20Ver%201.6.pdf,"{'/Title': '19 Supplier Management Policy Ver 1.3', '/Author': 'Maureen', '/Creator': 'Microsoft® Word 2016', '/CreationDate': ""D:20210203093155+08'00'"", '/ModDate': ""D:20210203093155+08'00'"", '/Producer': 'Microsoft® Word 2016'}",fail: markdown not found,Maureen. (2021). 19 Supplier Management Policy Ver 1.3 (PDF). https://it.um.edu.my/doc/Policy/19%20Supplier%20Management%20Policy%20Ver%201.6.pdf
https://ejournal.um.edu.my/index.php/IJEAS/about/privacy,"Privacy Statement
							| WILAYAH: The International Journal of East Asian Studies",Web Document,en-US,2021,,downloads/Privacy_Statement_WILAYAH_The_International_Journa.md,{},,"Privacy Statement
							| WILAYAH: The International Journal of East Asian Studies. (2021). https://ejournal.um.edu.my/index.php/IJEAS/about/privacy"
https://it.um.edu.my/doc/Policy/Polisi%20ICT%20UM%20Ver%202.1.pdf,3B Edited ICT Policy ver2.1 for Approval.docx,PDF Document,ms,2014,haslina,downloads/Polisi%20ICT%20UM%20Ver%202.1.pdf,"{'/Title': '3B Edited ICT Policy ver2.1 for Approval.docx', '/Author': 'haslina', '/Creator': 'Microsoft® Word 2013', '/CreationDate': ""D:20140318163057+08'00'"", '/ModDate': ""D:20140318163057+08'00'"", '/Producer': 'Microsoft® Word 2013'}",fail: markdown not found,haslina. (2014). 3B Edited ICT Policy ver2.1 for Approval.docx (PDF). https://it.um.edu.my/doc/Policy/Polisi%20ICT%20UM%20Ver%202.1.pdf
https://mjir.um.edu.my/index.php/mjir/privacystatement,"Privacy Statement
							| MJIR  | Malaysian Journal of International Relations",Web Document,ms,2018,,downloads/Privacy_Statement_MJIR_Malaysian_Journal_of_Intern.md,{},,"Privacy Statement
							| MJIR  | Malaysian Journal of International Relations. (2018). https://mjir.um.edu.my/index.php/mjir/privacystatement"
https://umcms.um.edu.my/sites/pusat-teknologi-maklumat/um-ict-policy-rules-amp-guidelines,Welcome to Department of Information Technology,Web Document,en,2024,,downloads/Welcome_to_Department_of_Information_Technology.md,{},,Welcome to Department of Information Technology. (2024). https://umcms.um.edu.my/sites/pusat-teknologi-maklumat/um-ict-policy-rules-amp-guidelines
https://myum.um.edu.my/doc/UM_Students_ICT_Declaration_Full_050911.pdf,ICT Declaration form-2009,PDF Document,,2011,User,downloads/UM_Students_ICT_Declaration_Full_050911.pdf,"{'/Author': 'User', '/CreationDate': 'D:20110905120325Z', '/Creator': 'Microsoft® Office Word 2007', '/ModDate': ""D:20110905120416+08'00'"", '/Producer': 'Microsoft® Office Word 2007', '/Title': 'ICT Declaration form-2009'}",fail: markdown not found,User. (2011). ICT Declaration form-2009 (PDF). https://myum.um.edu.my/doc/UM_Students_ICT_Declaration_Full_050911.pdf
https://it.um.edu.my/doc/Policy/Dasar_Keselamatan_ICT_UM_Ver2.0(4Feb2013)Eng.pdf,ICT SECURITY POLICY,PDF Document,ms,2013,Dr. Ram Gopal Raj,downloads/Dasar_Keselamatan_ICT_UM_Ver2.0(4Feb2013)Eng.pdf,"{'/Title': 'ICT SECURITY POLICY', '/Author': 'Dr. Ram Gopal Raj', '/Subject': 'University of Malaya (UM)', '/Creator': 'Microsoft® Word 2010', '/CreationDate': ""D:20130325110445+08'00'"", '/ModDate': ""D:20130325110445+08'00'"", '/Producer': 'Microsoft® Word 2010'}",fail: markdown not found,Dr. Ram Gopal Raj. (2013). ICT SECURITY POLICY (PDF). https://it.um.edu.my/doc/Policy/Dasar_Keselamatan_ICT_UM_Ver2.0(4Feb2013)Eng.pdf
https://researchcluster.um.edu.my/Downloads/14.%20Impact%20Oriented%20Interdisciplinary%20Research%20Grant%20Programme%20IIRG%20Cycle%204%202021/UM%20Safety%20Handbook.pdf,SAFETY HANDBOOK draft,PDF Document,en,2017,Patrick Lee,downloads/UM%20Safety%20Handbook.pdf,"{'/Title': 'SAFETY HANDBOOK draft', '/Author': 'Patrick Lee', '/Creator': 'Microsoft® Office Word 2007', '/CreationDate': ""D:20170921100249+08'00'"", '/ModDate': ""D:20170921100249+08'00'"", '/Producer': 'Microsoft® Office Word 2007'}",fail: markdown not found,Patrick Lee. (2017). SAFETY HANDBOOK draft (PDF). https://researchcluster.um.edu.my/Downloads/14.%20Impact%20Oriented%20Interdisciplinary%20Research%20Grant%20Programme%20IIRG%20Cycle%204%202021/UM%20Safety%20Handbook.pdf
https://fsktm.um.edu.my/fsktm/doc/postgraduate/PGHB2022.pdf,PGHB2022.pdf,PDF Document,,2022,Diljit,downloads/PGHB2022.pdf,"{'/Author': 'Diljit', '/Company': 'UM', '/ContentTypeId': '0x01010049C99A3A6215554183D3AA8FE372BE3F', '/CreationDate': ""D:20220824105440+08'00'"", '/Creator': 'Acrobat PDFMaker 22 for Word', '/ModDate': ""D:20221117180258+08'00'"", '/Producer': 'Adobe PDF Library 22.2.223', '/SourceModified': ''}",fail: markdown not found,Diljit. (2022). PGHB2022.pdf (PDF). https://fsktm.um.edu.my/fsktm/doc/postgraduate/PGHB2022.pdf
https://umcms.um.edu.my/sites/pusat-teknologi-maklumat/ict-security-notices,Welcome to Department of Information Technology,Web Document,en,2024,,downloads/Welcome_to_Department_of_Information_Technology.md,{},,Welcome to Department of Information Technology. (2024). https://umcms.um.edu.my/sites/pusat-teknologi-maklumat/ict-security-notices
https://fpe.um.edu.my/master-of-management,Faculty of Business and Economics,Web Document,zxx,2014,,downloads/Faculty_of_Business_and_Economics.md,{},,Faculty of Business and Economics. (2014). https://fpe.um.edu.my/master-of-management
https://fpe.um.edu.my/department-of-management-and-marketing,Faculty of Business and Economics,Web Document,zxx,2014,,downloads/Faculty_of_Business_and_Economics.md,{},,Faculty of Business and Economics. (2014). https://fpe.um.edu.my/department-of-management-and-marketing
https://it.um.edu.my/doc/Policy/35-wireless-communication-policy-ver-1-3.pdf,35-wireless-communication-policy-ver-1-3.pdf,PDF Document,en,2015,Maureen,downloads/35-wireless-communication-policy-ver-1-3.pdf,"{'/Author': 'Maureen', '/Creator': 'Microsoft® Word 2010', '/CreationDate': ""D:20151116152115+08'00'"", '/ModDate': ""D:20151116152115+08'00'"", '/Producer': 'Microsoft® Word 2010'}",fail: markdown not found,Maureen. (2015). 35-wireless-communication-policy-ver-1-3.pdf (PDF). https://it.um.edu.my/doc/Policy/35-wireless-communication-policy-ver-1-3.pdf
https://it.um.edu.my/doc/Policy/Information%20Security%20Policy%20[wefJulai2024].pdf,Information%20Security%20Policy%20[wefJulai2024].pdf,PDF Document,en,2024,user,downloads/Information%20Security%20Policy%20[wefJulai2024].pdf,"{'/Author': 'user', '/CreationDate': ""D:20240730124111+08'00'"", '/Creator': 'Microsoft® Word 2019', '/ModDate': ""D:20240731165006+08'00'"", '/Producer': 'Microsoft® Word 2019'}",fail: markdown not found,user. (2024). Information%20Security%20Policy%20[wefJulai2024].pdf (PDF). https://it.um.edu.my/doc/Policy/Information%20Security%20Policy%20[wefJulai2024].pdf
https://it.um.edu.my/doc/Policy/UM_ICT_Declaration%202018-05.pdf,UM_ICT_Declaration%202018-05.pdf,PDF Document,,2018,ARDA RABEETA BINTI ABD RAHIM,downloads/UM_ICT_Declaration%202018-05.pdf,"{'/Author': 'ARDA RABEETA BINTI ABD RAHIM', '/Creator': 'Microsoft® Word 2013', '/CreationDate': ""D:20180503143655+08'00'"", '/ModDate': ""D:20180503143655+08'00'"", '/Producer': 'Microsoft® Word 2013'}",fail: markdown not found,ARDA RABEETA BINTI ABD RAHIM. (2018). UM_ICT_Declaration%202018-05.pdf (PDF). https://it.um.edu.my/doc/Policy/UM_ICT_Declaration%202018-05.pdf
https://it.um.edu.my/doc/Policy/Information%20Security%20Policy%202022.pdf,Information Security Policy,PDF Document,en,2022,,downloads/Information%20Security%20Policy%202022.pdf,"{'/CreationDate': ""D:20220616102815+08'00'"", '/ModDate': ""D:20220617155252+08'00'"", '/Producer': 'Skia/PDF m104 Google Docs Renderer', '/Title': 'Information Security Policy'}",fail: markdown not found,nan. (2022). Information Security Policy (PDF). https://it.um.edu.my/doc/Policy/Information%20Security%20Policy%202022.pdf
https://it.um.edu.my/doc/Policy/22%20Termination%20Policy%20Ver%201.6.pdf,22 Termination Policy Ver 1.4,PDF Document,en,2021,Maureen,downloads/22%20Termination%20Policy%20Ver%201.6.pdf,"{'/Title': '22 Termination Policy Ver 1.4', '/Author': 'Maureen', '/Creator': 'Microsoft® Word 2013', '/CreationDate': ""D:20210112120547+08'00'"", '/ModDate': ""D:20210112120547+08'00'"", '/Producer': 'Microsoft® Word 2013'}",fail: markdown not found,Maureen. (2021). 22 Termination Policy Ver 1.4 (PDF). https://it.um.edu.my/doc/Policy/22%20Termination%20Policy%20Ver%201.6.pdf
https://it.um.edu.my/doc/Policy/Polisi%20Public%20Cloud%20(UM).pdf,Polisi%20Public%20Cloud%20(UM).pdf,PDF Document,ms,2018,NOR'AIN BINTI MOHAMED,downloads/Polisi%20Public%20Cloud%20(UM).pdf,"{'/Author': ""NOR'AIN BINTI MOHAMED"", '/Creator': 'Microsoft® Word 2013', '/CreationDate': ""D:20181015121726+08'00'"", '/ModDate': ""D:20181015121726+08'00'"", '/Producer': 'Microsoft® Word 2013'}",fail: markdown not found,NOR'AIN BINTI MOHAMED. (2018). Polisi%20Public%20Cloud%20(UM).pdf (PDF). https://it.um.edu.my/doc/Policy/Polisi%20Public%20Cloud%20(UM).pdf
https://it.um.edu.my/doc/Policy/Garis%20Panduan%20Penggunaan%20Emel.pdf,Garis%20Panduan%20Penggunaan%20Emel.pdf,PDF Document,ms,2023,KANMANI A/P MUNUSAMY,downloads/Garis%20Panduan%20Penggunaan%20Emel.pdf,"{'/Author': 'KANMANI A/P MUNUSAMY', '/Creator': 'Microsoft® Word 2019', '/CreationDate': ""D:20230221191535+08'00'"", '/ModDate': ""D:20230221191535+08'00'"", '/Producer': 'Microsoft® Word 2019'}",fail: markdown not found,KANMANI A/P MUNUSAMY. (2023). Garis%20Panduan%20Penggunaan%20Emel.pdf (PDF). https://it.um.edu.my/doc/Policy/Garis%20Panduan%20Penggunaan%20Emel.pdf
